SampleCode	IsDependent	RunApi
RecurringBilling.CreateSubscription	1	1
RecurringBilling.GetListOfSubscriptions	0	1
RecurringBilling.CancelSubscription	1	1
RecurringBilling.GetSubscriptionStatus	1	1
RecurringBilling.GetSubscription	1	1
RecurringBilling.UpdateSubscription	1	1
CustomerProfiles.ValidateCustomerPaymentProfile	1	0
CustomerProfiles.UpdateCustomerShippingAddress	1	1
CustomerProfiles.UpdateCustomerProfile	1	1
CustomerProfiles.UpdateCustomerPaymentProfile	1	1
CustomerProfiles.GetCustomerShippingAddress	1	1
CustomerProfiles.GetCustomerProfileIds	0	1
CustomerProfiles.GetCustomerProfile	1	1
CustomerProfiles.GetHostedProfilePage	1	1
CustomerProfiles.GetCustomerPaymentProfile	1	1
CustomerProfiles.DeleteCustomerShippingAddress	1	1
CustomerProfiles.DeleteCustomerProfile	1	1
CustomerProfiles.DeleteCustomerPaymentProfile	1	1
CustomerProfiles.CreateCustomerShippingAddress	1	1
CustomerProfiles.CreateCustomerProfileFromTransaction	0	1
CustomerProfiles.GetCustomerPaymentProfileList	0	1
CustomerProfiles.CreateCustomerProfile	1	1
CustomerProfiles.CreateCustomerPaymentProfile	1	1
PaypalExpressCheckout.PayPalAuthorizationOnly	1	1
PaypalExpressCheckout.PayPalVoid	1	0
PaypalExpressCheckout.PayPalAuthorizationAndCapture	1	1
PaypalExpressCheckout.PayPalAuthorizationAndCaptureContinue	1	1
PaypalExpressCheckout.PayPalAuthorizationOnlyContinued	1	0
PaypalExpressCheckout.PayPalCredit	1	0
PaypalExpressCheckout.PayPalGetDetails	1	1
PaypalExpressCheckout.PayPalPriorAuthorizationCapture	1	0
PaymentTransactions.ChargeCreditCard	1	1
PaymentTransactions.CapturePreviouslyAuthorizedAmount	1	1
PaymentTransactions.RefundTransaction	1	0
PaymentTransactions.VoidTransaction	1	1
PaymentTransactions.CreditBankAccount	1	0
PaymentTransactions.ChargeCustomerProfile	1	0
PaymentTransactions.CaptureFundsAuthorizedThroughAnotherChannel	0	0
PaymentTransactions.AuthorizeCreditCard	1	0
PaymentTransactions.DebitBankAccount	0	1
PaymentTransactions.ChargeTokenizedCreditCard	0	1
PaymentTransactions.UpdateSplitTenderGroup	0	0
TransactionReporting.GetTransactionList	0	1
TransactionReporting.GetUnsettledTransactionList	0	1
TransactionReporting.GetBatchStatistics	0	1
TransactionReporting.GetSettledBatchList	0	1
TransactionReporting.GetTransactionDetails	1	1
ApplePayTransactions.CreateAnApplePayTransaction	0	0
VisaCheckout.DecryptVisaCheckoutData	0	1
VisaCheckout.CreateVisaCheckoutTransaction	0	0
